tenure,PhoneService,TotalCharges,StreamingMovies,StreamingTV,TechSupport,gender
29,1,2467.1,0,0,0,Male
46,1,1066.15,0,0,0,Female
24,1,1233.25,0,0,0,Female
51,0,3014.65,1,1,0,Male
70,0,4138.7,1,1,1,Male
12,1,505.95,0,0,0,Female
3,1,68.35,0,0,0,Male
9,1,762.5,1,0,0,Female
15,1,1287.85,1,1,1,Female
72,1,1784.5,0,0,0,Female
4,1,84.75,0,0,0,Female
72,1,7556.9,0,1,1,Female
10,1,176.3,0,0,0,Male
5,0,131.05,0,0,0,Female
8,1,659.45,1,0,0,Male
26,1,2351.8,1,1,0,Female
68,1,4911.35,0,0,1,Female
2,1,34.75,0,0,0,Male
8,1,606.55,0,0,0,Male
3,1,57.2,0,0,0,Female
13,1,1230.25,1,1,0,Male
34,1,2275.1,0,0,0,Male
72,0,4575.35,1,1,1,Female
21,0,1011.5,0,1,1,Male
40,1,3303.05,0,0,1,Female
16,0,916.15,0,1,1,Male
26,1,1553.2,0,0,0,Female
49,1,4853.75,1,1,0,Male
46,1,908.15,0,0,0,Male
11,1,868.5,0,1,0,Male
72,1,6033.1,1,1,1,Male
47,1,943.0,0,0,0,Male
1,1,19.25,0,0,0,Male
59,1,5496.9,0,0,0,Female
71,1,6365.35,1,1,1,Female
25,1,520.1,0,0,0,Female
72,1,7919.8,1,1,1,Male
2,1,32.7,0,0,0,Male
35,1,2215.45,0,1,0,Female
71,1,7288.4,1,1,0,Male
15,1,1285.05,1,1,0,Female
2,1,34.8,0,0,0,Female
26,1,2015.8,0,0,0,Female
3,1,273.75,0,1,1,Female
49,1,2398.4,0,0,0,Male
27,1,1929.0,0,0,0,Male
3,1,147.75,0,0,1,Male
45,0,2264.5,1,0,1,Female
37,1,3778.0,1,1,1,Male
72,1,8477.7,1,1,1,Female
62,1,5755.8,0,0,0,Female
54,1,3246.45,0,0,0,Female
15,1,1667.25,1,1,1,Male
1,1,20.05,0,0,0,Male
1,0,25.2,0,0,0,Female
72,0,4390.25,1,1,1,Male
30,1,2427.1,1,1,0,Female
40,1,3126.85,0,0,1,Female
71,1,5224.95,0,0,1,Female
18,0,600.0,0,0,0,Male
17,0,382.8,0,0,0,Male
40,1,804.85,0,0,0,Female
72,1,7882.25,1,1,1,Female
2,1,39.3,0,0,0,Male
53,1,1301.9,0,0,0,Male
71,1,8564.75,1,1,1,Male
20,1,1901.65,0,1,1,Female
7,1,370.4,0,1,0,Male
15,1,1302.65,0,0,0,Female
72,1,1709.15,0,0,0,Female
39,1,903.8,0,0,0,Male
45,1,1121.05,0,0,0,Female
5,1,424.75,0,1,0,Female
47,0,1798.65,0,0,1,Female
4,1,63.0,0,0,0,Male
47,1,4669.2,0,1,1,Male
33,1,3275.15,1,0,0,Male
15,1,394.85,0,0,0,Female
66,1,5976.9,1,0,0,Male
6,1,521.3,0,1,0,Female
17,1,340.35,0,0,0,Female
41,1,3848.0,1,1,0,Female
56,1,5515.45,1,1,0,Female
28,1,1505.15,0,0,1,Female
72,0,3784.0,1,1,1,Female
1,1,49.75,0,0,0,Male
56,1,5893.95,1,1,0,Female
70,1,5536.5,0,1,1,Male
44,1,3974.15,1,1,0,Male
2,1,81.25,0,0,0,Male
58,1,4230.25,0,0,1,Male
48,1,3887.85,1,1,0,Female
11,1,888.75,1,0,0,Male
72,1,8425.3,1,1,1,Male
72,0,2962.0,0,0,0,Male
26,1,2196.45,1,0,1,Female
52,0,2020.9,1,0,0,Male
52,1,1078.75,0,0,0,Female
27,1,1461.45,0,0,1,Male
1,1,79.05,0,1,0,Male
45,1,3775.85,0,0,0,Male
61,1,5500.6,1,0,0,Female
2,1,137.1,0,0,0,Female
11,1,740.8,1,0,1,Female
21,1,1258.35,0,0,1,Female
1,1,71.15,0,0,0,Female
6,1,560.6,1,1,0,Female
71,1,5357.75,0,1,1,Male
72,1,5011.15,0,1,0,Female
67,1,4119.4,0,0,1,Male
21,1,1215.45,0,1,0,Female
72,1,1421.9,0,0,0,Male
33,1,620.55,0,0,0,Male
3,1,292.85,1,1,0,Female
31,1,3019.5,0,1,0,Male
55,0,2743.45,1,1,0,Male
1,1,74.35,0,0,0,Male
10,1,163.2,0,0,0,Female
1,1,20.45,0,0,0,Male
14,1,1273.3,1,1,0,Male
66,1,4859.25,0,0,0,Female
72,1,7657.4,0,1,1,Female
11,0,346.45,0,0,0,Female
32,1,2979.3,1,0,0,Male
7,1,700.85,1,1,0,Male
31,0,1848.8,1,1,1,Male
61,0,2696.55,0,0,1,Female
1,1,70.15,0,0,0,Female
71,1,7413.55,1,1,0,Female
1,1,70.6,0,0,0,Male
3,1,237.65,1,1,0,Male
4,1,330.05,0,0,0,Male
27,1,2220.1,0,0,0,Male
3,1,293.15,1,1,0,Female
1,1,20.3,0,0,0,Male
72,1,6339.3,1,1,1,Male
61,0,3088.75,1,0,1,Female
68,1,7467.5,1,1,0,Male
2,1,39.85,0,0,0,Female
9,1,238.15,0,0,0,Female
31,1,609.1,0,0,0,Male
3,1,215.8,0,0,0,Female
35,1,3782.4,1,1,1,Male
15,1,302.45,0,0,0,Female
1,1,89.3,1,1,0,Female
42,1,4512.7,1,1,1,Male
1,1,45.4,0,0,0,Female
71,1,6849.4,1,0,0,Female
50,1,930.9,0,0,0,Female
55,1,1388.0,0,0,0,Female
47,1,3496.3,1,0,1,Female
27,1,520.55,0,0,0,Male
25,1,527.5,0,0,0,Female
36,1,3615.6,1,1,0,Female
9,1,767.9,0,1,0,Male
45,1,4735.35,1,1,0,Female
63,1,5034.05,1,1,1,Male
8,1,564.35,1,1,1,Female
72,0,4566.5,1,1,1,Male
17,1,1400.85,0,1,0,Male
51,1,3807.35,0,0,0,Female
8,1,161.65,0,0,0,Female
3,1,58.85,0,0,0,Female
71,1,1663.5,0,0,0,Female
65,1,5968.4,0,1,0,Male
72,1,7767.25,1,1,0,Male
72,0,4719.75,1,1,1,Male
69,1,7430.75,1,1,0,Male
62,0,2618.3,0,0,1,Male
54,1,6431.05,1,1,1,Female
3,1,52.0,0,0,0,Female
23,1,1406.0,1,0,0,Male
35,1,739.9,0,0,0,Male
52,1,2535.55,0,0,0,Female
2,1,168.5,0,1,0,Female
64,1,1274.05,0,0,0,Male
1,0,24.4,0,0,0,Male
60,1,4453.3,0,0,0,Male
3,0,99.75,1,0,0,Male
72,1,7589.8,1,1,0,Female
3,1,256.75,1,0,0,Male
34,1,780.2,0,0,0,Female
43,1,3161.4,0,0,0,Male
66,1,6976.75,1,1,1,Female
10,1,223.9,0,0,0,Male
35,1,3626.1,1,1,0,Male
1,1,20.25,0,0,0,Female
29,1,1323.7,0,0,0,Male
50,1,3557.7,0,0,0,Female
1,1,75.1,0,0,0,Female
23,1,1509.8,1,1,0,Male
13,1,896.75,0,0,0,Male
68,1,3687.75,0,0,0,Female
15,1,331.6,0,0,0,Female
44,1,3250.45,0,1,1,Male
40,1,3532.25,1,0,0,Female
48,1,1183.05,0,0,0,Female
1,1,75.5,1,1,1,Male
53,0,2879.2,0,1,1,Female
19,1,839.65,0,0,0,Female
1,1,44.15,0,0,0,Female
39,1,3219.75,0,0,1,Male
43,1,4451.85,1,1,1,Male
4,1,341.45,0,0,1,Female
71,1,5708.2,1,0,1,Male
47,1,4045.65,1,0,0,Female
29,1,1974.8,0,0,0,Male
58,0,2540.1,0,1,0,Female
15,1,679.55,0,0,0,Female
72,1,6052.25,0,0,0,Female
43,0,2342.2,1,1,0,Female
25,1,2514.5,1,1,0,Female
2,1,41.85,0,0,0,Female
5,1,202.15,0,0,0,Female
15,1,867.1,0,0,1,Male
11,1,225.75,0,0,0,Male
37,1,911.6,0,0,0,Female
11,1,1129.75,1,1,0,Female
17,1,1215.8,1,1,0,Female
62,1,5936.55,0,1,0,Female
27,1,1291.35,0,0,0,Male
25,1,507.9,0,0,0,Female
50,1,1013.2,0,0,0,Male
69,1,7007.6,1,1,0,Male
28,1,672.2,0,0,0,Female
35,1,759.35,0,0,0,Male
29,1,529.5,0,0,0,Male
65,1,6792.45,1,1,0,Male
35,1,666.0,0,0,0,Male
51,1,1086.75,0,0,0,Male
4,1,191.05,0,0,0,Female
65,1,5324.5,1,1,1,Male
23,1,2292.75,1,1,0,Male
38,1,3162.65,0,0,0,Male
43,1,3645.6,0,1,0,Male
12,1,274.7,0,0,0,Female
65,1,6643.5,0,1,1,Female
14,1,1346.3,1,1,0,Female
20,1,1734.5,0,1,0,Male
56,1,3346.8,0,0,0,Female
42,0,1097.15,0,0,0,Male
11,1,818.45,0,0,0,Male
2,1,184.65,0,0,0,Male
3,1,60.65,0,0,0,Female
1,1,69.35,0,0,0,Male
11,1,223.15,0,0,0,Male
3,1,209.9,0,1,1,Male
1,1,19.55,0,0,0,Female
68,1,1303.25,0,0,0,Male
53,1,1068.15,0,0,0,Male
60,1,6176.6,1,1,0,Female
66,1,6000.1,0,1,0,Female
28,1,1654.45,0,0,0,Female
5,1,302.6,0,0,0,Female
24,0,971.3,1,0,0,Male
45,1,2319.8,0,0,1,Female
6,1,518.75,0,1,0,Female
64,1,5017.7,0,0,0,Male
58,1,5305.05,1,1,0,Male
5,1,446.05,0,1,0,Female
31,1,1882.8,0,1,0,Male
35,1,3527.6,1,1,0,Female
5,1,83.75,0,0,0,Male
16,1,1205.5,0,0,0,Male
72,1,7629.85,1,1,0,Female
60,1,5811.8,0,1,0,Female
67,1,1688.9,0,0,0,Male
72,1,6563.4,0,0,1,Female
50,1,943.1,0,0,0,Female
10,1,226.55,0,0,0,Male
4,1,384.5,1,1,0,Female
4,1,321.75,0,0,0,Female
23,1,1975.85,1,0,0,Male
6,1,497.6,0,1,0,Male
12,1,827.05,1,1,0,Male
10,1,252.75,0,0,0,Female
12,1,959.9,0,0,0,Male
22,1,1544.05,0,1,1,Male
47,1,3545.1,0,0,0,Female
24,1,2407.3,1,1,0,Female
34,1,2088.75,0,0,1,Female
9,1,204.55,0,0,0,Male
28,1,2068.55,0,0,0,Male
69,1,4254.1,0,0,1,Female
39,0,1905.4,1,1,0,Female
27,1,2857.6,1,1,0,Female
2,1,38.25,0,0,0,Female
1,1,19.4,0,0,0,Female
65,1,5769.6,0,0,0,Male
28,1,1546.3,0,0,1,Female
12,1,1059.55,0,1,0,Male
1,1,70.45,0,0,0,Female
27,1,2180.55,0,0,1,Male
66,1,1672.35,0,0,0,Male
72,1,4265.0,0,0,0,Female
58,1,5125.75,0,0,1,Male
7,1,673.25,1,1,0,Male
17,1,1607.2,0,1,0,Female
70,1,1685.9,0,0,0,Female
1,1,45.6,0,0,0,Male
64,1,1642.75,0,0,0,Female
55,1,4266.4,0,0,0,Female
51,1,3974.7,0,0,0,Male
5,1,474.8,0,1,0,Female
43,1,4895.1,1,1,1,Female
53,1,5549.4,1,1,0,Male
63,1,1275.85,0,0,0,Male
27,1,531.6,0,0,0,Male
22,1,1545.4,1,0,1,Female
6,1,503.6,0,1,0,Male
31,1,2823.0,0,0,1,Male
64,1,5135.35,0,0,0,Male
71,1,1539.75,0,0,0,Male
68,0,3794.5,1,1,0,Male
1,1,53.55,0,0,0,Female
64,1,6548.65,1,1,0,Male
2,1,132.4,1,1,1,Male
1,1,44.0,0,0,0,Male
28,1,1802.15,1,0,0,Male
2,1,36.8,0,0,0,Male
72,1,6448.85,1,1,1,Female
28,1,2483.65,0,1,1,Male
55,1,5448.6,1,1,0,Female
65,1,4386.2,1,0,0,Female
34,1,3625.2,1,1,1,Male
53,1,3229.65,0,0,1,Male
37,1,726.1,0,0,0,Male
15,1,1269.55,1,0,0,Female
71,1,5832.65,1,1,1,Male
7,1,533.6,0,0,0,Male
67,1,7530.8,1,1,1,Male
52,1,5088.4,1,0,1,Male
69,1,7493.05,1,1,1,Female
24,1,1821.2,1,1,0,Male
7,1,571.05,1,1,1,Female
39,1,958.45,0,0,0,Male
50,1,1067.65,0,0,0,Male
71,1,6962.85,1,1,0,Male
13,1,265.3,0,0,0,Female
1,1,18.85,0,0,0,Female
29,1,2607.6,1,1,1,Male
27,1,2310.2,1,1,1,Female
48,1,2651.2,0,0,0,Male
6,1,531.0,1,0,0,Male
59,1,4541.9,1,1,1,Male
30,1,3181.8,0,1,1,Male
32,1,654.55,0,0,0,Female
3,1,266.8,1,1,0,Male
5,1,259.4,0,0,1,Male
70,1,6293.2,1,1,1,Female
1,1,69.9,0,0,0,Male
54,1,4965.0,1,1,1,Female
72,1,7548.6,0,1,1,Male
66,1,4378.9,0,0,1,Male
9,0,539.85,1,1,1,Female
41,1,3126.45,1,1,1,Female
71,1,5831.2,1,0,1,Female
72,1,8240.85,1,1,1,Male
72,1,7982.5,1,1,1,Female
12,1,1029.75,0,0,1,Male
55,1,3627.3,1,0,1,Male
72,1,7346.2,1,1,0,Male
65,1,7082.45,1,1,0,Female
6,1,502.85,0,0,1,Female
4,1,273.0,0,0,0,Female
62,1,6529.25,1,0,1,Male
67,1,1620.45,0,0,0,Male
8,1,773.65,0,1,0,Male
72,1,1521.2,0,0,0,Male
66,0,3027.25,0,1,0,Female
10,1,794.25,1,1,0,Male
43,1,4830.25,1,1,1,Female
22,1,1422.05,0,0,0,Female
12,1,912.0,0,1,0,Male
10,1,436.2,0,0,0,Male
27,1,1421.75,0,0,0,Male
8,1,163.6,0,0,0,Female
12,1,224.5,0,0,0,Female
71,0,3888.65,0,1,1,Male
50,1,5341.8,1,1,0,Male
70,1,7930.55,1,1,0,Female
7,1,333.65,0,0,0,Male
46,1,4541.2,0,1,0,Male
6,1,273.25,0,0,0,Female
6,1,487.05,1,0,1,Female
47,1,1250.85,0,0,0,Female
36,1,3366.05,1,1,0,Male
8,1,740.3,1,1,0,Male
40,0,2448.5,1,1,1,Male
61,1,6363.45,1,1,0,Male
72,1,7114.25,0,1,0,Male
39,1,3877.95,1,1,0,Female
8,1,161.15,0,0,0,Male
1,1,89.1,1,1,0,Male
33,0,2016.3,1,1,1,Female
31,1,2697.4,0,1,0,Female
9,1,853.1,1,1,0,Female
70,1,1328.35,0,0,0,Female
55,1,1026.35,0,0,0,Male
4,1,93.4,0,0,0,Male
48,1,3682.45,1,1,0,Male
61,1,1124.2,0,0,0,Male
2,1,153.8,0,0,0,Female
6,1,288.05,0,0,1,Female
3,0,79.45,0,0,0,Male
22,0,903.6,1,0,0,Male
33,1,2684.85,0,0,1,Female
12,1,1132.75,1,1,1,Male
72,1,8333.95,1,1,1,Female
58,1,3791.6,0,1,0,Female
59,1,5084.65,1,0,0,Male
34,1,2753.8,1,1,0,Male
52,1,1229.1,0,0,0,Male
10,1,402.6,0,0,0,Male
16,1,1023.9,0,1,1,Female
58,1,6287.25,1,1,0,Male
10,1,1048.85,1,1,0,Male
3,1,244.45,0,1,1,Male
69,1,1436.95,0,0,0,Female
13,0,394.1,0,0,0,Female
25,1,2257.75,0,1,0,Female
1,1,20.05,0,0,0,Male
1,1,62.05,0,0,1,Male
68,1,7149.35,1,0,0,Male
1,1,90.85,1,0,0,Male
8,1,819.55,1,1,0,Male
1,0,25.25,0,0,0,Female
46,1,2459.8,0,0,0,Female
45,1,4747.85,1,1,1,Male
8,1,847.3,1,1,1,Female
5,1,462.8,1,1,0,Male
22,1,2157.3,1,1,0,Male
58,1,5817.7,1,1,1,Female
51,0,2553.35,1,1,0,Female
39,0,1880.85,0,1,1,Male
26,1,684.05,0,0,0,Female
53,1,4517.25,0,1,0,Male
1,1,80.0,1,0,0,Male
1,0,29.95,0,0,0,Female
18,1,1601.5,1,0,1,Male
46,1,902.0,0,0,0,Male
3,1,267.6,0,1,0,Male
12,1,480.6,0,0,0,Female
14,0,771.95,1,1,1,Male
5,1,331.9,0,0,0,Male
28,1,2799.0,1,1,0,Male
59,1,5574.75,1,1,0,Male
10,1,435.4,0,0,0,Male
21,1,1714.95,1,1,1,Female
5,0,198.0,1,1,0,Female
10,1,225.55,0,0,0,Female
5,1,371.6,0,0,0,Male
9,1,741.7,0,0,0,Male
11,1,1105.4,1,1,0,Female
47,1,3522.65,1,1,0,Male
3,0,107.25,0,0,1,Male
1,1,75.9,0,0,1,Male
23,0,947.4,0,0,1,Male
16,1,1511.2,1,1,1,Female
27,1,2212.55,1,1,1,Male
68,1,1686.15,0,0,0,Male
2,0,96.8,1,1,0,Female
5,1,122.0,0,0,0,Male
67,1,5060.85,0,0,0,Male
52,1,3042.25,0,0,1,Female
29,1,2440.25,0,0,0,Male
1,1,70.1,0,0,0,Female
4,1,268.35,0,0,0,Female
69,1,5897.4,1,1,1,Female
16,0,664.4,0,1,0,Female
24,1,2248.05,1,1,0,Male
42,1,4327.5,1,1,1,Female
60,0,3027.4,1,1,0,Female
10,1,930.4,1,1,0,Male
9,1,530.05,0,1,1,Female
24,1,1614.05,1,1,0,Female
18,1,358.5,0,0,0,Male
72,1,8220.4,1,1,1,Female
64,1,5327.25,0,0,1,Female
2,1,50.6,0,0,0,Male
68,1,6302.85,1,1,1,Male
1,1,102.45,1,1,0,Female
59,1,1267.0,0,0,0,Female
50,1,4858.7,1,1,0,Male
72,1,8058.85,1,1,1,Female
57,1,5468.95,1,0,1,Female
18,1,369.6,0,0,0,Female
62,1,7133.45,1,1,1,Female
24,1,533.9,0,0,0,Male
37,0,1448.8,0,0,0,Male
5,1,470.95,0,1,1,Female
3,1,222.3,0,0,0,Female
29,1,2263.4,0,0,0,Male
31,1,1498.55,0,0,1,Female
24,1,469.65,0,0,0,Male
18,1,1438.05,0,0,0,Female
17,1,1574.45,0,1,1,Female
69,1,4577.9,0,0,1,Female
48,1,936.7,0,0,0,Female
54,1,1090.6,0,0,0,Male
13,1,995.35,1,1,0,Female
22,1,1961.6,0,1,0,Female
18,0,476.8,0,0,0,Male
16,1,1374.9,0,0,0,Female
5,1,415.55,0,1,0,Male
53,1,1048.45,0,0,0,Female
44,1,3122.4,0,0,0,Male
44,1,4398.15,1,1,1,Male
70,1,6367.2,1,1,1,Female
6,1,545.2,1,1,0,Female
33,1,1758.9,0,0,1,Female
11,1,211.95,0,0,0,Female
72,1,1709.1,0,0,0,Female
9,1,769.1,1,0,0,Female
63,0,2298.9,0,0,1,Male
3,1,57.4,0,0,0,Female
66,1,6844.5,1,1,1,Male
66,0,4136.4,1,1,1,Female
1,1,71.1,0,0,0,Female
30,1,2638.1,1,1,1,Female
13,1,931.75,0,0,0,Male
72,1,5661.7,1,0,1,Female
8,1,446.8,0,0,0,Female
28,1,2847.4,1,1,0,Male
65,1,6914.95,1,1,0,Female
11,1,880.05,0,1,1,Female
26,1,459.6,0,0,0,Female
59,0,2997.45,1,1,0,Male
67,1,1284.2,0,0,0,Male
71,1,1379.6,0,0,0,Female
57,1,4140.1,0,1,0,Male
71,0,3263.6,1,0,1,Female
57,1,1252.85,0,0,0,Male
72,1,1851.45,0,0,0,Male
1,1,75.35,0,0,0,Male
15,1,1392.25,0,1,0,Male
4,1,319.85,0,0,0,Female
23,0,996.85,1,1,0,Female
71,1,7623.2,1,1,1,Male
45,1,3541.1,0,1,1,Female
64,1,6880.85,1,1,1,Male
20,1,1191.2,0,0,1,Male
31,1,2404.15,0,0,1,Female
3,1,335.75,1,1,0,Male
20,1,417.5,0,0,0,Male
57,1,5598.0,1,1,0,Male
8,0,221.9,0,0,0,Male
33,1,600.25,0,0,0,Male
67,0,3623.95,0,1,1,Female
71,1,5999.85,1,1,1,Female
59,1,3735.45,0,1,1,Male
1,1,20.45,0,0,0,Male
57,1,4368.95,0,1,1,Female
1,1,59.2,1,0,0,Female
9,1,918.75,1,1,0,Male
4,1,68.45,0,0,0,Female
72,1,6362.35,1,1,1,Male
62,1,6703.5,1,1,1,Female
5,1,384.25,0,1,0,Female
22,1,2142.8,1,0,1,Male
35,1,809.25,0,0,0,Male
12,1,1043.4,1,0,0,Male
28,1,535.35,0,0,0,Female
1,1,20.4,0,0,0,Male
67,1,7040.85,1,1,0,Male
72,1,6991.6,1,0,1,Male
38,1,4428.6,1,1,1,Male
14,1,664.4,0,0,1,Male
47,1,4138.9,1,1,1,Male
63,1,1574.5,0,0,0,Male
37,0,973.55,0,0,1,Female
1,1,74.2,0,0,0,Female
37,1,717.5,0,0,0,Female
9,0,328.95,0,1,1,Male
60,1,3561.15,0,1,0,Male
57,1,4884.85,0,0,1,Female
41,1,1841.9,0,0,0,Female
50,1,3478.15,0,1,1,Female
4,1,202.3,0,0,1,Male
9,1,661.25,0,0,0,Male
36,1,3474.2,1,1,0,Male
2,0,41.85,0,0,0,Female
65,1,6078.75,0,0,1,Male
36,1,3003.55,1,1,1,Female
5,1,117.95,0,0,0,Female
71,1,7713.55,1,1,0,Male
3,1,121.25,0,0,0,Male
55,1,1140.05,0,0,0,Female
5,1,223.15,0,0,0,Male
1,1,53.5,0,1,0,Male
68,1,5375.15,0,0,0,Male
38,1,3233.6,0,0,0,Female
16,1,889.0,0,0,0,Female
67,1,4991.5,1,0,1,Female
72,1,8594.4,1,1,1,Male
21,1,1493.2,0,0,0,Female
4,1,78.9,0,0,0,Male
3,0,98.5,0,0,0,Female
69,1,6856.45,1,1,1,Male
2,1,196.75,1,1,0,Male
70,1,6859.5,1,1,0,Male
1,1,21.0,0,0,0,Female
2,1,38.8,0,0,0,Male
11,1,1020.2,1,1,0,Male
13,1,1244.5,0,1,0,Female
60,1,1161.75,0,0,0,Male
20,1,1463.5,0,0,0,Male
37,0,1316.9,0,1,0,Male
30,1,587.1,0,0,0,Male
60,1,5969.95,1,1,1,Male
35,1,2416.55,0,0,0,Female
50,1,4816.7,1,1,0,Male
71,1,6856.95,0,1,0,Female
8,1,600.15,0,0,0,Female
